Frame Seq, Obj_index, x, y, z, velocity, snr, noise
# Frame 316: DetectedObjs=4 : numTLVs=5
# Frame 337: DetectedObjs=4 : numTLVs=5
337,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
337,obj_1,0.01772,0.56690,0.00000,0.00000,317,707
337,obj_2,0.00000,0.82895,0.00000,0.00000,286,578
337,obj_3,-0.03408,1.09018,0.00000,0.00000,151,511
# Frame 338: DetectedObjs=4 : numTLVs=5
338,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
338,obj_1,0.01772,0.56690,0.00000,0.00000,323,701
338,obj_2,0.00000,0.82895,0.00000,0.00000,286,578
338,obj_3,0.00000,1.09072,0.00000,0.00000,158,506
# Frame 339: DetectedObjs=4 : numTLVs=5
339,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
339,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
339,obj_2,0.00000,0.82895,0.00000,0.00000,292,571
339,obj_3,0.00000,1.09072,0.00000,0.00000,164,499
# Frame 340: DetectedObjs=4 : numTLVs=5
340,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
340,obj_1,0.01772,0.56690,0.00000,0.00000,315,710
340,obj_2,0.00000,0.82895,0.00000,0.00000,288,576
340,obj_3,0.00000,1.09072,0.00000,0.00000,165,507
# Frame 341: DetectedObjs=3 : numTLVs=5
341,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
341,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
341,obj_2,0.00000,0.82895,0.00000,0.00000,291,573
# Frame 342: DetectedObjs=4 : numTLVs=5
342,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
342,obj_1,0.01772,0.56690,0.00000,0.00000,315,709
342,obj_2,0.00000,0.82895,0.00000,0.00000,299,565
342,obj_3,-0.03408,1.09018,0.00000,0.00000,174,496
# Frame 343: DetectedObjs=4 : numTLVs=5
343,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
343,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
343,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
343,obj_3,0.00000,1.09072,0.00000,0.00000,167,502
# Frame 344: DetectedObjs=4 : numTLVs=5
344,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
344,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
344,obj_2,0.00000,0.82895,0.00000,0.00000,307,557
344,obj_3,0.00000,1.09072,0.00000,0.00000,158,501
# Frame 345: DetectedObjs=4 : numTLVs=5
345,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
345,obj_1,0.01772,0.56690,0.00000,0.00000,319,705
345,obj_2,0.00000,0.82895,0.00000,0.00000,302,562
345,obj_3,0.00000,1.09072,0.00000,0.00000,180,487
# Frame 346: DetectedObjs=4 : numTLVs=5
346,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
346,obj_1,0.01772,0.56690,0.00000,0.00000,324,700
346,obj_2,0.00000,0.82895,0.00000,0.00000,298,565
346,obj_3,-0.03408,1.09018,0.00000,0.00000,163,498
# Frame 347: DetectedObjs=4 : numTLVs=5
347,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
347,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
347,obj_2,0.00000,0.82895,0.00000,0.00000,295,569
347,obj_3,0.00000,1.09072,0.00000,0.00000,171,502
# Frame 348: DetectedObjs=4 : numTLVs=5
348,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
348,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
348,obj_2,0.00000,0.82895,0.00000,0.00000,289,575
348,obj_3,0.00000,1.09072,0.00000,0.00000,172,496
# Frame 349: DetectedObjs=4 : numTLVs=5
349,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
349,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
349,obj_2,0.00000,0.82895,0.00000,0.00000,298,566
349,obj_3,0.00000,1.09072,0.00000,0.00000,169,493
# Frame 350: DetectedObjs=4 : numTLVs=5
350,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
350,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
350,obj_2,0.00000,0.82895,0.00000,0.00000,293,571
350,obj_3,-0.03408,1.09018,0.00000,0.00000,164,500
# Frame 351: DetectedObjs=3 : numTLVs=5
351,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
351,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
351,obj_2,0.00000,0.82895,0.00000,0.00000,293,571
# Frame 352: DetectedObjs=4 : numTLVs=5
352,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
352,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
352,obj_2,0.00000,0.82895,0.00000,0.00000,284,580
352,obj_3,0.00000,1.09072,0.00000,0.00000,165,507
# Frame 353: DetectedObjs=4 : numTLVs=5
353,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
353,obj_1,0.01772,0.56690,0.00000,0.00000,315,709
353,obj_2,0.00000,0.82895,0.00000,0.00000,288,576
353,obj_3,-0.03408,1.09018,0.00000,0.00000,157,507
# Frame 354: DetectedObjs=4 : numTLVs=5
354,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
354,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
354,obj_2,0.00000,0.82895,0.00000,0.00000,286,579
354,obj_3,-0.03408,1.09018,0.00000,0.00000,172,495
# Frame 355: DetectedObjs=4 : numTLVs=5
355,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
355,obj_1,0.01772,0.56690,0.00000,0.00000,311,713
355,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
355,obj_3,-0.03408,1.09018,0.00000,0.00000,166,504
# Frame 356: DetectedObjs=4 : numTLVs=5
356,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
356,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
356,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
356,obj_3,0.00000,1.09072,0.00000,0.00000,156,512
# Frame 357: DetectedObjs=4 : numTLVs=5
357,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
357,obj_1,0.01772,0.56690,0.00000,0.00000,313,712
357,obj_2,0.00000,0.82895,0.00000,0.00000,293,571
357,obj_3,0.00000,1.09072,0.00000,0.00000,171,496
# Frame 358: DetectedObjs=4 : numTLVs=5
358,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
358,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
358,obj_2,0.00000,0.82895,0.00000,0.00000,296,568
358,obj_3,-0.03408,1.09018,0.00000,0.00000,177,487
# Frame 359: DetectedObjs=4 : numTLVs=5
359,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
359,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
359,obj_2,0.00000,0.82895,0.00000,0.00000,298,566
359,obj_3,-0.03408,1.09018,0.00000,0.00000,178,493
# Frame 360: DetectedObjs=4 : numTLVs=5
360,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
360,obj_1,0.01772,0.56690,0.00000,0.00000,313,711
